Date,Close,High,Low,Open,Volume,BTC-INR
2022-07-17,1656543.875,1722039.75,1656451.0,1691057.0,1827820431490,BTC-INR
2022-07-18,1799541.0,1810903.0,1656748.5,1656748.5,3199177266460,BTC-INR
2022-07-19,1867789.875,1889924.125,1733642.625,1798113.25,3894200902478,BTC-INR
2022-07-20,1858690.5,1935152.75,1838703.0,1868090.0,3434884666124,BTC-INR
2022-07-21,1847984.875,1871159.375,1791742.875,1858808.125,2682952640605,BTC-INR
2022-07-22,1814404.375,1889820.75,1805492.875,1847914.875,2509859600331,BTC-INR
2022-07-23,1794452.5,1835350.625,1757504.5,1813765.75,1918765230390,BTC-INR
2022-07-24,1805953.375,1834677.875,1781781.125,1794455.0,1882342293723,BTC-INR
2022-07-25,1703013.625,1809147.25,1703009.0,1805793.0,2836101972067,BTC-INR
2022-07-26,1695813.0,1702967.5,1658648.25,1702967.5,2285435695383,BTC-INR
2022-07-27,1830950.375,1834702.0,1682619.75,1696165.5,2535877941835,BTC-INR
2022-07-28,1897298.5,1918487.0,1809334.125,1831197.375,3199767927628,BTC-INR
2022-07-29,1885207.875,1929164.5,1862968.375,1897404.125,2842090743617,BTC-INR
2022-07-30,1873453.375,1946025.375,1867458.375,1884589.0,2229198148314,BTC-INR
2022-07-31,1848166.75,1910313.5,1843839.875,1873125.625,1865328029224,BTC-INR
2022-08-01,1840794.75,1852604.375,1807845.5,1848152.75,2040944916658,BTC-INR
2022-08-02,1806188.875,1838289.875,1785455.5,1840339.625,2231529728217,BTC-INR
2022-08-03,1807582.625,1865662.125,1789128.875,1806439.375,2079881968742,BTC-INR
2022-08-04,1791359.125,1834765.625,1780119.5,1807717.625,1988398142799,BTC-INR
2022-08-05,1849423.125,1855290.875,1789875.25,1791032.75,2293483091529,BTC-INR
2022-08-06,1823281.625,1852380.875,1823281.625,1849590.625,1268782487016,BTC-INR
2022-08-07,1840417.0,1855665.625,1817983.5,1823458.5,1261585533955,BTC-INR
2022-08-08,1895285.125,1926419.625,1840469.375,1840705.75,2274673378505,BTC-INR
2022-08-09,1843385.125,1901435.875,1827965.125,1895444.125,1874532288104,BTC-INR
2022-08-10,1894211.625,1909964.625,1812131.625,1843272.125,2597376487809,BTC-INR
2022-08-11,1907360.875,1973109.875,1903029.625,1894267.25,2955841246302,BTC-INR
2022-08-12,1943142.75,1943918.875,1886394.75,1907334.75,2171116042515,BTC-INR
2022-08-13,1944834.75,1979551.125,1938627.5,1943092.5,1830431812818,BTC-INR
2022-08-14,1936496.25,1988697.5,1927491.25,1945232.125,1830973440609,BTC-INR
2022-08-15,1920172.25,2002483.375,1896529.25,1936415.25,2794185198056,BTC-INR
2022-08-16,1890272.75,1927527.625,1882316.375,1919310.125,2196599920502,BTC-INR
2022-08-17,1851899.0,1937527.625,1844383.5,1890116.375,2454672919473,BTC-INR
2022-08-18,1851609.375,1876031.0,1848806.625,1852299.0,1894274694276,BTC-INR
2022-08-19,1668494.375,1851655.25,1667798.625,1851655.25,3237451083701,BTC-INR
2022-08-20,1691551.375,1706473.5,1666830.375,1668117.875,2205393594577,BTC-INR
2022-08-21,1721076.75,1731844.375,1686527.375,1691098.375,1846411238509,BTC-INR
2022-08-22,1709431.75,1720864.25,1673075.25,1720864.25,2529648518407,BTC-INR
2022-08-23,1719154.5,1725473.25,1674085.25,1709602.5,2545683201468,BTC-INR
2022-08-24,1707261.375,1737734.0,1692724.125,1719024.25,2550496310836,BTC-INR
2022-08-25,1725552.625,1740077.0,1704661.625,1707296.375,2478674871964,BTC-INR
2022-08-26,1619977.125,1740200.75,1615136.75,1725167.625,3384420930344,BTC-INR
2022-08-27,1602543.375,1626434.375,1590452.25,1620174.0,2408142747873,BTC-INR
2022-08-28,1568547.75,1610324.875,1568547.75,1602487.125,1948354312048,BTC-INR
2022-08-29,1623193.0,1627938.25,1567267.875,1568414.875,2609988647375,BTC-INR
2022-08-30,1577481.0,1634623.5,1561445.5,1623242.375,2747758149494,BTC-INR
2022-08-31,1594937.625,1623979.25,1577701.875,1577701.875,2643032388478,BTC-INR
2022-09-01,1604476.125,1606732.375,1566050.0,1594996.125,2406022263840,BTC-INR
2022-09-02,1592083.0,1625321.25,1579882.625,1604391.0,2321900621100,BTC-INR
2022-09-03,1581106.25,1597443.625,1570444.5,1592078.75,1882542262848,BTC-INR
2022-09-04,1593435.5,1594470.0,1565538.375,1581136.875,2012719705760,BTC-INR
2022-09-05,1586832.25,1596979.25,1569948.5,1593601.0,2307756453818,BTC-INR
2022-09-06,1505042.25,1609726.0,1501615.875,1587261.0,3467776520479,BTC-INR
2022-09-07,1536450.125,1547341.25,1490148.875,1505043.5,2806802606018,BTC-INR
2022-09-08,1540632.25,1548533.625,1522293.875,1536419.625,2565973867551,BTC-INR
2022-09-09,1703138.5,1707779.0,1539128.125,1540497.125,3860891789542,BTC-INR
2022-09-10,1727007.75,1733359.375,1686237.875,1702800.625,2940439544778,BTC-INR
2022-09-11,1734053.25,1734156.5,1705192.625,1726848.875,2747652410708,BTC-INR
